model,n_features,parameter_count,best_epoch,validation_r2_joint,test_r2_u,test_r2_v,test_r2_joint,test_rmse_m_s,test_mae_m_s
wind_only_mlp,2,431490,57,0.12467341080971261,0.1239835990566831,0.12339825286058093,0.12369092595863201,0.19509429363926298,0.143574365596886
frozen_core6_mlp,6,433538,12,0.12850630839880717,0.12734533902056788,0.1274503641836796,0.12739785160212375,0.19468220192490404,0.1433051275918311
