cell,label,model,features,r2_u,r2_v,r2_joint,rmse,mae,macro_id_r2_joint,macro_id_rmse,win_rate_vs_A,model_size_bytes
A,Frozen MLP core6,MLP,core6,0.12734534053455682,0.12745036475824467,0.12739785264640074,0.1946822017914906,0.14330512754164973,-0.3026208561242849,0.1922870524314965,,1748793
B,MLP lat7,MLP,core6 + sin(latitude),0.13311986906048479,0.12856004748794325,0.13083995827421402,0.19429115114873804,0.14296462867431348,-0.27816499575860454,0.19241817385890347,0.5437158469945356,1757214
C,XGBoost core6,XGBoost,core6,0.127324837399462,0.1271834060973318,0.1272541217483969,0.19469788165229332,0.1432858586137613,-0.30385440412013454,0.1924150366929038,0.4890710382513661,4340025
D,XGBoost lat7,XGBoost,core6 + sin(latitude),0.13435748413037918,0.12881054538248127,0.13158401475643022,0.19420654741512944,0.1428730529375663,-0.2385362288140453,0.19197931801111698,0.5519125683060109,4713268
